dataset,method,run_id,input_length,generated_tokens,ppl,ttft_sec,tpot_ms,throughput_tok_s,peak_memory_mb,kv_cache_memory_mb
wikitext,baseline,0,2048,256,41.54844294646802,0.0684047999966424,4.290164313729916,220.2346238599016,730.619140625,48.0
wikitext,baseline,1,2048,256,41.54844294646802,0.06612880000466248,4.633796078412035,205.1698309304861,730.62109375,48.0
wikitext,baseline,2,2048,256,41.54844294646802,0.0691203000023961,4.3912639215704985,215.3264306627708,730.62109375,48.0
wikitext,streaming,0,2048,256,46.26431138833947,0.07318400000076508,4.483143137237194,210.4595952523187,1517.2470703125,12.09375
wikitext,streaming,1,2048,256,46.26431138833947,0.06900380000297446,4.531792941184796,209.04597459841074,1517.2470703125,12.09375
wikitext,streaming,2,2048,256,46.26431138833947,0.07536350000009406,4.44517803921104,211.76557980483565,1517.2470703125,12.09375
wikitext,streaming_snapkv,0,2048,256,54.76207406296231,0.07327060000534402,4.645141176468528,203.53295039378793,1493.9892578125,3.09375
wikitext,streaming_snapkv,1,2048,256,54.76207406296231,0.0806594000023324,4.4918901960687325,208.79356954956978,1493.9892578125,3.09375
wikitext,streaming_snapkv,2,2048,256,54.76207406296231,0.07572230000369018,4.455584313722747,211.23919596038724,1493.9892578125,3.09375
wikitext,snapkv,0,2048,256,43.57510778310514,0.07527329999720678,4.474483921584061,210.4801520914447,1520.1767578125,14.390625
wikitext,snapkv,1,2048,256,43.57510778310514,0.07527120000304421,4.592032941182683,205.41796296558806,1520.1767578125,14.390625
wikitext,snapkv,2,2048,256,43.57510778310514,0.07504770000377903,4.5038745097996316,209.2296939103928,1520.1767578125,14.390625
wikitext,pyramid_0.3,0,2048,256,45.09019417164648,0.08030109999526758,4.5271839215774,207.33227345548988,1518.0908203125,14.390625
wikitext,pyramid_0.3,1,2048,256,45.09019417164648,0.07833540000137873,4.667700000002287,201.79743179629443,1518.0908203125,14.390625
wikitext,pyramid_0.3,2,2048,256,45.09019417164648,0.0763065999999526,4.568145490210394,206.2547228095703,1518.0908203125,14.390625
wikitext,pyramid_0.5,0,2048,256,44.31087807824913,0.08006969999405555,4.889095686296201,192.9470177288008,1536.9267578125,24.0
wikitext,pyramid_0.5,1,2048,256,44.31087807824913,0.0775461999946856,4.495371764727786,209.1732264806305,1536.9267578125,24.0
wikitext,pyramid_0.5,2,2048,256,44.31087807824913,0.07199659999605501,4.803200392166664,197.40707351206956,1536.9267578125,24.0
wikitext,mix_a,0,2048,256,45.47753838051424,0.09812830000009853,4.510043137255992,205.09709544852112,1884.5205078125,10.8515625
wikitext,mix_a,1,2048,256,45.47753838051424,0.0977190999983577,4.600084313749582,201.45732339007128,1884.5205078125,10.8515625
wikitext,mix_a,2,2048,256,45.47753838051424,0.09802769999805605,4.570934117638149,202.59320890221,1884.5205078125,10.8515625
wikitext,mix_b,0,2048,256,46.05717573561221,0.095681799997692,4.6525301960726075,199.67599450014112,1876.5517578125,6.3515625
wikitext,mix_b,1,2048,256,46.05717573561221,0.09519580000051064,4.6427890196141295,200.13962866247857,1876.5517578125,6.3515625
wikitext,mix_b,2,2048,256,46.05717573561221,0.09531080000306247,4.62237215685366,200.93943897225927,1876.5517578125,6.3515625
pg19,baseline,0,2048,256,45.63315809592332,0.0681101000009221,4.4701039215593195,211.92288060174474,730.62109375,48.0
pg19,baseline,1,2048,256,45.63315809592332,0.06866080000327202,4.485531764700735,211.13900088660753,730.62109375,48.0
pg19,baseline,2,2048,256,45.63315809592332,0.06925489999412093,4.5391141176486265,208.685047798775,730.62109375,48.0
pg19,streaming,0,2048,256,45.32606942338955,0.0692711000010604,4.437722745106107,213.17515736601385,1517.2470703125,12.09375
pg19,streaming,1,2048,256,45.32606942338955,0.07509980000031646,4.475160392158774,210.48032514592066,1517.2470703125,12.09375
pg19,streaming,2,2048,256,45.32606942338955,0.07628579999436624,4.504559607862486,208.98837787886288,1517.2470703125,12.09375
pg19,streaming_snapkv,0,2048,256,46.05093901444249,0.07703430000401568,4.62069529412296,203.9334297547356,1493.9892578125,3.09375
pg19,streaming_snapkv,1,2048,256,46.05093901444249,0.07817470000009052,4.550073725512644,206.71108532508592,1493.9892578125,3.09375
pg19,streaming_snapkv,2,2048,256,46.05093901444249,0.07819439999730093,4.540801960798026,207.10316949544637,1493.9892578125,3.09375
pg19,snapkv,0,2048,256,45.37784085856312,0.07600149999780115,4.61761882353469,204.22908983325587,1520.1767578125,14.390625
pg19,snapkv,1,2048,256,45.37784085856312,0.07609199999569682,4.497295294120205,209.33806404711504,1520.1767578125,14.390625
pg19,snapkv,2,2048,256,45.37784085856312,0.07454799999686657,4.472945490195736,210.67373542940413,1520.1767578125,14.390625
pg19,pyramid_0.3,0,2048,256,45.271205243415146,0.07425240000156919,4.420446274504202,213.072993647237,1518.0908203125,14.390625
pg19,pyramid_0.3,1,2048,256,45.271205243415146,0.07584570000472013,4.610668627434529,204.54371490688436,1518.0908203125,14.390625
pg19,pyramid_0.3,2,2048,256,45.271205243415146,0.07830269999976736,4.631214117655284,203.2936267524414,1518.0908203125,14.390625
pg19,pyramid_0.5,0,2048,256,45.38844463923605,0.0765077999967616,4.578054901960023,205.80237280545649,1536.9267578125,24.0
pg19,pyramid_0.5,1,2048,256,45.38844463923605,0.07620979999774136,4.573085490190743,206.06165783425152,1536.9267578125,24.0
pg19,pyramid_0.5,2,2048,256,45.38844463923605,0.07748330000322312,4.508272941166069,208.6231612943738,1536.9267578125,24.0
pg19,mix_a,0,2048,256,45.55788855613463,0.0963835000002291,4.500003137246834,205.80692271811478,1884.5205078125,10.8515625
pg19,mix_a,1,2048,256,45.55788855613463,0.09922579999692971,4.44126117648671,207.83482067815504,1884.5205078125,10.8515625
pg19,mix_a,2,2048,256,45.55788855613463,0.09697320000123,4.642176078421329,199.88629905150523,1884.5205078125,10.8515625
