dataset,method,run_id,input_length,generated_tokens,ppl,ttft_sec,tpot_ms,throughput_tok_s,peak_memory_mb,kv_cache_memory_mb
pg19,mix_b_top128_split16,0,2048,256,46.05093901444249,0.08091610000701621,4.310169803919089,216.94742431595466,1493.9892578125,3.09375
pg19,mix_b_top128_split16,1,2048,256,46.05093901444249,0.07570720001240261,4.35741568622225,215.6973402328952,1493.9892578125,3.09375
pg19,mix_b_top128_split16,2,2048,256,46.05093901444249,0.07091619999846444,4.516295294160955,209.39470615666167,1493.9892578125,3.09375
wikitext,mix_b_top256_split16,0,2048,256,49.7104272067776,0.08512449999398086,4.417861568657042,211.2770442867035,1499.9873046875,6.09375
wikitext,mix_b_top256_split16,1,2048,256,49.7104272067776,0.0769021000014618,4.446157647009172,211.45276058795443,1499.9892578125,6.09375
wikitext,mix_b_top256_split16,2,2048,256,49.7104272067776,0.0747752000024775,4.260353333323591,220.46817968122323,1499.9892578125,6.09375
pg19,mix_b_top256_split16,0,2048,256,45.75852376130122,0.08596109999052715,4.43128117647789,210.5370850397137,1499.9892578125,6.09375
pg19,mix_b_top256_split16,1,2048,256,45.75852376130122,0.07354840000334661,4.464411764695565,211.22575792492546,1499.9892578125,6.09375
pg19,mix_b_top256_split16,2,2048,256,45.75852376130122,0.0740042999968864,4.407057254894765,213.7244669190488,1499.9892578125,6.09375
wikitext,mix_b_top384_split16,0,2048,256,46.73188209870492,0.08190669999748934,4.377510196097908,213.65884257956606,1505.9873046875,9.09375
wikitext,mix_b_top384_split16,1,2048,256,46.73188209870492,0.0767304999899352,4.397661960797896,213.66552981699172,1505.9892578125,9.09375
wikitext,mix_b_top384_split16,2,2048,256,46.73188209870492,0.07598730000609066,4.50463686269644,209.0359547568789,1505.9892578125,9.09375
pg19,mix_b_top384_split16,0,2048,256,45.36765057996436,0.08155420000548474,4.3839835294170815,213.42759718754118,1505.9892578125,9.09375
pg19,mix_b_top384_split16,1,2048,256,45.36765057996436,0.07530799999949522,4.397755686259902,213.91523625551142,1505.9892578125,9.09375
pg19,mix_b_top384_split16,2,2048,256,45.36765057996436,0.0732960000023013,4.412637254926285,213.59703667334597,1505.9892578125,9.09375
