dataset,method,run_id,input_length,generated_tokens,ppl,ttft_sec,tpot_ms,throughput_tok_s,peak_memory_mb,kv_cache_memory_mb
wikitext,mix_b_top384_split16,0,2048,256,46.73188209870492,0.07999199999903794,4.627983921576136,203.15398143300095,1505.9873046875,9.09375
wikitext,mix_b_top384_split16,1,2048,256,46.73188209870492,0.0782102999946801,4.513271372564429,208.28341514854196,1505.9892578125,9.09375
wikitext,mix_b_top384_split16,2,2048,256,46.73188209870492,0.07719709999946645,4.553856470595871,206.71325520463824,1505.9892578125,9.09375
pg19,mix_b_top384_split16,0,2048,256,45.36765057996436,0.08020599999872502,4.3270827451088545,216.2870758077577,1505.9892578125,9.09375
pg19,mix_b_top384_split16,1,2048,256,45.36765057996436,0.0762994999968214,4.45635764706679,211.10430061536258,1505.9892578125,9.09375
pg19,mix_b_top384_split16,2,2048,256,45.36765057996436,0.07887209999898914,4.6608984313720345,201.9881313038292,1505.9892578125,9.09375
