dataset,method,run_id,input_length,generated_tokens,ppl,ttft_sec,tpot_ms,throughput_tok_s,peak_memory_mb,kv_cache_memory_mb
wikitext,baseline,0,2048,256,41.54844294646802,0.06581919999734964,4.135568627423388,228.49202759381586,730.619140625,48.0
wikitext,baseline,1,2048,256,41.54844294646802,0.07024280000769068,4.274590588209,220.63955477677095,730.62109375,48.0
wikitext,baseline,2,2048,256,41.54844294646802,0.06597000001056585,4.115739215665277,229.49689529141753,730.62109375,48.0
pg19,baseline,0,2048,256,45.63315809592332,0.06912139999622013,4.360040392174257,216.77798978540235,730.62109375,48.0
pg19,baseline,1,2048,256,45.63315809592332,0.07052090000070166,4.321999607810879,218.3125328122395,730.62109375,48.0
pg19,baseline,2,2048,256,45.63315809592332,0.0695384999999078,4.341078431382044,217.59206332905927,730.62109375,48.0
